iter	Passed	Remaining
438	1321	1688
439	1322	1683
440	1324	1678
441	1341	1693
442	1342	1687
443	1343	1682
444	1345	1677
445	1346	1672
446	1347	1667
447	1349	1662
448	1350	1657
449	1351	1651
450	1352	1646
451	1355	1642
452	1356	1638
453	1358	1633
454	1359	1628
455	1360	1623
456	1362	1618
457	1363	1613
458	1364	1608
459	1366	1603
460	1368	1599
461	1369	1594
462	1370	1589
463	1371	1584
464	1373	1580
465	1375	1575
466	1376	1571
467	1377	1566
468	1380	1563
469	1382	1558
470	1383	1553
471	1384	1548
472	1385	1543
473	1386	1539
474	1388	1534
475	1389	1529
476	1391	1525
477	1391	1520
478	1393	1515
479	1394	1510
480	1395	1505
481	1396	1500
482	1397	1495
483	1398	1490
484	1399	1485
485	1400	1481
486	1402	1477
487	1404	1473
488	1405	1468
489	1406	1464
490	1408	1459
491	1409	1455
492	1411	1451
493	1412	1446
494	1413	1442
495	1415	1438
496	1416	1433
497	1417	1428
498	1419	1424
499	1420	1420
500	1421	1416
501	1423	1411
502	1424	1407
503	1425	1402
504	1426	1397
505	1427	1393
506	1428	1389
507	1430	1385
508	1432	1381
509	1433	1377
510	1435	1373
511	1436	1369
512	1438	1365
513	1439	1361
514	1441	1357
515	1442	1353
516	1444	1349
517	1445	1345
518	1447	1341
519	1448	1336
520	1449	1332
521	1451	1328
522	1452	1324
523	1454	1320
524	1455	1317
525	1457	1312
526	1459	1309
527	1461	1306
528	1462	1302
529	1463	1297
530	1464	1293
531	1465	1288
532	1466	1284
533	1467	1280
534	1468	1276
535	1469	1272
536	1471	1268
537	1472	1264
538	1473	1260
539	1474	1256
540	1475	1252
541	1476	1247
542	1477	1243
543	1478	1239
544	1480	1235
545	1481	1231
546	1482	1227
547	1483	1223
548	1484	1219
549	1485	1215
550	1487	1212
551	1488	1208
552	1490	1204
553	1491	1200
554	1492	1196
555	1493	1192
556	1494	1188
557	1495	1184
558	1496	1180
559	1498	1177
560	1499	1173
561	1501	1169
562	1502	1166
563	1503	1162
564	1504	1158
565	1505	1154
566	1507	1151
567	1508	1147
568	1509	1143
569	1510	1139
570	1512	1136
571	1513	1132
572	1514	1128
573	1515	1125
574	1517	1121
575	1518	1117
576	1520	1114
577	1521	1110
578	1522	1107
579	1524	1103
580	1526	1100
581	1526	1096
582	1527	1092
583	1528	1089
584	1529	1085
585	1531	1081
586	1532	1078
587	1533	1074
588	1534	1071
589	1536	1067
590	1538	1064
591	1539	1061
592	1541	1057
593	1542	1054
594	1543	1050
595	1544	1047
596	1545	1043
597	1547	1040
598	1548	1036
599	1550	1033
600	1551	1030
601	1553	1026
602	1554	1023
603	1555	1019
604	1556	1016
605	1558	1012
606	1559	1009
607	1560	1006
608	1561	1002
609	1563	999
610	1564	995
611	1565	992
612	1566	989
613	1568	985
614	1569	982
615	1570	979
